Without Butterworth,With Butterworth,Actual Value,Filtered Value
0.158794053,0.160431599,0.156,0.162623787
0.171660419,0.144264551,0.154,0.154248144
0.158819571,0.127705719,0.128,0.148889177
0.149507675,0.112419073,0.154,0.141519864
0.152538743,0.099373973,0.162,0.128825189
0.153350886,0.118395121,0.122,0.11709413
0.144633365,0.109787968,0.056,0.119292134
0.163023082,0.10279133,0.148,0.140356762
0.149175247,0.097328299,0.202,0.16857698
0.163176621,0.092568127,0.18,0.185497494
0.173978876,0.200839892,0.192,0.182902809
0.172315482,0.212642002,0.18,0.168996424
0.155368929,0.220753412,0.124,0.159650587
0.168006076,0.226620739,0.138,0.16320699
0.154790565,0.232114966,0.22,0.173065247
0.153868001,0.184131084,0.186,0.176443683
0.15696069,0.197321438,0.16,0.168976087
0.160436888,0.212734883,0.138,0.157501733
0.151093779,0.230090047,0.156,0.150086895
0.170302635,0.249236429,0.136,0.147376979
0.150080519,0.146263693,0.178,0.144053303
0.163721633,0.145706248,0.108,0.1361902
0.175232142,0.143377044,0.146,0.12598267
0.17321009,0.137433032,0.126,0.120198822
0.155837161,0.12791265,0.078,0.123877415
0.134114975,0.125494464,0.154,0.133982118
0.122150449,0.126821164,0.158,0.140494646
0.11299252,0.12927344,0.136,0.136729784
0.115779123,0.133706927,0.162,0.128015924
0.119122422,0.140298832,0.04,0.126932914
0.108403154,0.127832129,0.166,0.139242731
0.127187144,0.130572055,0.206,0.15815233
0.114928623,0.134877233,0.156,0.173620613
0.127602107,0.139672968,0.148,0.181306197
0.139309474,0.14268535,0.2,0.179732106
0.173293027,0.174636298,0.168,0.165705085
0.155546823,0.166114097,0.144,0.137813041
0.168886363,0.155640704,0.106,0.102037219
0.157230216,0.14484841,0.066,0.070616683
0.147984874,0.135061168,0.028,0.053948823
0.096351794,0.039198632,0.066,0.052641351
0.097838029,0.026688826,0.066,0.057687359
0.090494296,0.016305453,0.064,0.059005541
0.109453521,0.007829876,0.046,0.053955459
0.09670217,0.000873199,0.066,0.048935367
0.080669411,0.044320248,0.04,0.054141979
0.09304117,0.03784448,0.044,0.075041804
0.090424551,0.027749493,0.148,0.106510675
0.072588269,0.014112548,0.12,0.13529942
0.085279427,-0.001538565,0.136,0.148588972
0.09357461,0.161590252,0.184,0.141614235
0.084049174,0.17573139,0.104,0.120741201
0.087460245,0.191915183,0.072,0.099803666
0.089127444,0.210357443,0.112,0.090586018
0.081693944,0.230829262,0.096,0.095456547
0.115054487,0.102124284,0.082,0.107353752
0.10275937,0.110278622,0.126,0.114729048
0.114713536,0.118936633,0.15,0.109914899
0.126865067,0.125920899,0.09,0.097383968
0.125447548,0.129433793,0.052,0.09131212
0.08812054,0.081705666,0.086,0.100495966
0.100755864,0.069927951,0.148,0.117417071
0.089675266,0.057661307,0.134,0.125830007
0.079275629,0.046386991,0.138,0.118185013
0.082373263,0.037156552,0.072,0.103075649
0.103463804,0.090361647,0.086,0.096221714
0.096097487,0.079843595,0.122,0.106599274
0.113963173,0.071198149,0.13,0.131036068
0.102400154,0.063986286,0.14,0.158105377
0.114426893,0.057149965,0.19,0.175374033
0.154424502,0.190892945,0.218,0.177348592
0.152559346,0.203044964,0.134,0.16977588
0.135265353,0.211855487,0.126,0.163231982
0.148552131,0.218589498,0.202,0.161089694
0.137248464,0.224724658,0.15,0.157326101
0.141728924,0.154356195,0.168,0.146236378
0.143994212,0.153313855,0.104,0.129925626
0.1462091,0.154719222,0.116,0.115322809
0.13920597,0.158475986,0.098,0.107345102
0.157206828,0.164228785,0.164,0.107146374
0.133573923,0.108386972,0.036,0.113928822
0.146069304,0.109881117,0.15,0.123973979
0.157724964,0.109489889,0.152,0.130111393
0.154931261,0.105677214,0.124,0.127905353
0.137673347,0.098586372,0.134,0.121829697
0.136982375,0.11376258,0.07,0.120925603
0.125328457,0.105101543,0.154,0.128071819
0.115480178,0.097147837,0.144,0.136391838
0.116982343,0.091048192,0.134,0.136863667
0.119309153,0.087392422,0.14,0.127780438
0.121783012,0.121104783,0.12,0.116436211
0.14012397,0.116498814,0.066,0.111972218
0.127464876,0.113397626,0.132,0.11639438
0.14108203,0.110587058,0.166,0.12412341
0.152575921,0.105873779,0.116,0.130508764
0.13797488,0.133412708,0.088,0.136229232
0.121141079,0.133025844,0.198,0.142079243
0.134320733,0.130721375,0.106,0.144891745
0.123743715,0.127909683,0.176,0.141051288
0.113935407,0.125805769,0.108,0.131309954
0.123518803,0.123316027,0.136,0.12129193
0.125833584,0.117636015,0.116,0.118151327
0.118484311,0.114309804,0.096,0.125609346
0.136182566,0.11310297,0.176,0.14062686
0.124420772,0.11347914,0.14,0.154883351
0.145900776,0.169448162,0.152,0.159733022
0.156511706,0.182099853,0.174,0.150640979
0.153023035,0.191295531,0.12,0.129755248
0.137807684,0.197231473,0.11,0.105693867
0.149819264,0.20123252,0.072,0.088919139
0.114748346,0.071582866,0.092,0.085352697
0.104313317,0.054895855,0.102,0.093672202
0.106076356,0.039939974,0.096,0.107317866
0.108204241,0.02735396,0.112,0.117982338
0.10065202,0.017217348,0.142,0.119489697
0.125779426,0.123171434,0.122,0.112322415
0.113737038,0.128406634,0.074,0.104492456
0.127559461,0.133852838,0.116,0.104840992
0.138528666,0.137264883,0.096,0.114259272
0.134647166,0.137139488,0.136,0.124253695
0.105813311,0.130988992,0.144,0.12483862
0.117347144,0.135888318,0.118,0.11453984
0.107817716,0.140354342,0.084,0.102469115
0.097497575,0.145570984,0.082,0.099788795
0.099035623,0.152537572,0.136,0.109759872
0.107141671,0.122021389,0.118,0.126305625
0.100202442,0.136585189,0.12,0.140004958
0.118037369,0.153195096,0.192,0.145394078
0.105551974,0.171323061,0.148,0.145952063
0.119729234,0.189736176,0.102,0.15144208
0.146868665,0.155016254,0.15,0.166245336
0.143456385,0.155097756,0.24,0.182381893
0.128353932,0.151862797,0.192,0.188912595
0.13921574,0.146704612,0.152,0.185718485
0.129681233,0.141106661,0.222,0.183573422
0.163055761,0.182277107,0.132,0.191961368
0.164975308,0.182851849,0.216,0.208962169
0.167049679,0.18577076,0.276,0.224010503
0.160405203,0.190945604,0.238,0.231647669
0.178556209,0.198064776,0.19,0.23957087
0.20084202,0.248952288,0.282,0.258876239
0.2143835,0.25867626,0.232,0.28799828
0.225338862,0.266599556,0.38,0.310360165
0.222996828,0.271076906,0.3,0.309204309
0.207424779,0.272168398,0.316,0.283593569
0.290014364,0.255996738,0.138,0.248174394
0.281076211,0.227995613,0.334,0.21948987
0.270015853,0.200967072,0.134,0.206890393
0.273001052,0.175902856,0.272,0.21349773
0.275682697,0.153160052,0.164,0.236961555
0.215485459,0.262559944,0.316,0.266901326
0.233373019,0.290066796,0.27,0.286850985
0.22162234,0.319118465,0.288,0.283510161
0.234488648,0.348594796,0.292,0.256680955
0.246904534,0.376203089,0.19,0.221816095
0.261789484,0.18333378,0.204,0.201523676
0.24651932,0.141283745,0.194,0.210364209
0.25511113,0.097181017,0.236,0.244222399
0.248318024,0.05276102,0.316,0.282732467
0.235284127,0.009486411,0.29,0.302240595
0.252061237,0.323852151,0.266,0.289450655
0.253583219,0.347896623,0.346,0.249024965
0.247994747,0.374121899,0.126,0.20171947
