Without Butterworth,With Butterworth,Actual Value,Filtered Value
0.15655474,0.16039503,0.156,0.162623787
0.15304728,0.15318833,0.154,0.154248144
0.15359706,0.1481205,0.128,0.148889177
0.14850456,0.14768283,0.154,0.141519864
0.14367628,0.14842385,0.162,0.128825189
0.14626163,0.118658565,0.122,0.11709413
0.14729102,0.117206134,0.056,0.119292134
0.1404679,0.12693046,0.148,0.140356762
0.14102738,0.13525574,0.202,0.16857698
0.1497196,0.14079538,0.18,0.185497494
0.15923443,0.18151079,0.192,0.182902809
0.15367718,0.17860588,0.18,0.168996424
0.16279322,0.16284539,0.124,0.159650587
0.15139623,0.15583494,0.138,0.16320699
0.15060283,0.15354462,0.22,0.173065247
0.16134077,0.17777398,0.186,0.176443683
0.15839937,0.17828737,0.16,0.168976087
0.15684247,0.17404756,0.138,0.157501733
0.1550016,0.16636497,0.156,0.150086895
0.14612345,0.16238488,0.136,0.147376979
0.13786665,0.14225864,0.178,0.144053303
0.14310217,0.13745311,0.108,0.1361902
0.14286827,0.14015062,0.146,0.12598267
0.15035321,0.14172296,0.126,0.120198822
0.14861305,0.14798155,0.078,0.123877415
0.123888746,0.13655928,0.154,0.133982118
0.13236812,0.15001236,0.158,0.140494646
0.1331387,0.153524,0.136,0.136729784
0.13868077,0.15217438,0.162,0.128015924
0.13930212,0.14980595,0.04,0.126932914
0.12429417,0.13905585,0.166,0.139242731
0.13269897,0.14366288,0.206,0.15815233
0.13443214,0.14984992,0.156,0.173620613
0.13906904,0.15211436,0.148,0.181306197
0.14242595,0.15099391,0.2,0.179732106
0.16517057,0.17740776,0.168,0.165705085
0.15441267,0.16737098,0.144,0.137813041
0.1549867,0.15788874,0.106,0.102037219
0.1545104,0.14859825,0.066,0.070616683
0.14568605,0.14681637,0.028,0.053948823
0.110663556,0.06039026,0.066,0.052641351
0.116829745,0.07219067,0.066,0.057687359
0.12842794,0.095535524,0.064,0.059005541
0.12616855,0.117034815,0.046,0.053955459
0.13704495,0.1312531,0.066,0.048935367
0.107106745,0.04484196,0.04,0.054141979
0.1176966,0.061334495,0.044,0.075041804
