Without Butterworth,With Butterworth,Actual Value,Filtered Value
0.16549473,0.15650412,0.156,0.162623787
0.14956544,0.15307668,0.154,0.154248144
0.13826972,0.14333303,0.128,0.148889177
0.14667201,0.1402565,0.154,0.141519864
0.14129369,0.13718921,0.162,0.128825189
0.11836498,0.11286304,0.122,0.11709413
0.12529986,0.10197331,0.056,0.119292134
0.15057953,0.10507762,0.148,0.140356762
0.17235519,0.12524264,0.202,0.16857698
0.17164382,0.13983805,0.18,0.185497494
0.16202776,0.17945434,0.192,0.182902809
0.15032601,0.16827483,0.18,0.168996424
0.1545551,0.15803468,0.124,0.159650587
0.13530836,0.15034005,0.138,0.16320699
0.13589935,0.13721159,0.22,0.173065247
0.12140684,0.17741637,0.186,0.176443683
0.13637708,0.16067672,0.16,0.168976087
0.15435265,0.15081273,0.138,0.157501733
0.20616321,0.14876388,0.156,0.150086895
0.15508655,0.14359906,0.136,0.147376979
0.13408037,0.15422963,0.178,0.144053303
0.11403893,0.14630221,0.108,0.1361902
0.08592421,0.14549111,0.146,0.12598267
0.10712696,0.14189804,0.126,0.120198822
0.13166669,0.14301947,0.078,0.123877415
0.16867359,0.13507909,0.154,0.133982118
0.14717802,0.14855604,0.158,0.140494646
0.1412763,0.15435228,0.136,0.136729784
0.15462,0.15230091,0.162,0.128015924
0.1191925,0.15284836,0.04,0.126932914
0.13249937,0.13799563,0.166,0.139242731
0.13767067,0.15458292,0.206,0.15815233
0.13849549,0.15583,0.156,0.173620613
0.13658695,0.14369197,0.148,0.181306197
0.11979366,0.13948502,0.2,0.179732106
0.14325765,0.17128162,0.168,0.165705085
0.13786691,0.16129422,0.144,0.137813041
0.15288731,0.14817505,0.106,0.102037219
0.13136238,0.13934691,0.066,0.070616683
0.13356243,0.13932417,0.028,0.053948823
0.10524017,0.057469007,0.066,0.052641351
0.10475457,0.078881204,0.066,0.057687359
0.10624181,0.09577956,0.064,0.059005541
0.1022006,0.12930726,0.046,0.053955459
0.14084485,0.14911997,0.066,0.048935367
0.12477054,0.070796326,0.04,0.054141979
0.1468652,0.07624741,0.044,0.075041804
0.13106091,0.10148229,0.148,0.106510675
0.13756223,0.11100001,0.12,0.13529942
0.12701228,0.1439222,0.136,0.148588972
0.10112014,0.13924688,0.184,0.141614235
0.10588185,0.13910286,0.104,0.120741201
0.104477555,0.12475739,0.072,0.099803666
0.11939771,0.12692943,0.112,0.090586018
0.1538433,0.121031545,0.096,0.095456547
0.15761892,0.10903528,0.082,0.107353752
0.14380427,0.116612665,0.126,0.114729048
0.12458934,0.12851948,0.15,0.109914899
0.13225794,0.1396641,0.09,0.097383968
0.14362252,0.15137742,0.052,0.09131212
0.13893037,0.093709424,0.086,0.100495966
0.14337331,0.10585813,0.148,0.117417071
0.14142473,0.12144635,0.134,0.125830007
0.11885653,0.12801433,0.138,0.118185013
0.1307582,0.13041253,0.072,0.103075649
0.12794934,0.09914418,0.086,0.096221714
0.14770146,0.10594264,0.122,0.106599274
0.14871363,0.10685418,0.13,0.131036068
0.12203293,0.11768778,0.14,0.158105377
0.12605448,0.12276326,0.19,0.175374033
0.13447066,0.17203306,0.218,0.177348592
0.13997741,0.16692948,0.134,0.16977588
0.1441165,0.15726677,0.126,0.163231982
0.13796847,0.14575818,0.202,0.161089694
0.1322711,0.13815963,0.15,0.157326101
0.12863272,0.16275133,0.168,0.146236378
0.13531333,0.1507279,0.104,0.129925626
0.1488144,0.14403056,0.116,0.115322809
0.13797934,0.1372587,0.098,0.107345102
0.1345357,0.14206865,0.164,0.107146374
0.12190355,0.11591517,0.036,0.113928822
0.11972715,0.12506108,0.15,0.123973979
0.12705903,0.14031057,0.152,0.130111393
0.13268752,0.15025379,0.124,0.127905353
0.13742375,0.15428557,0.134,0.121829697
0.16496891,0.11701006,0.07,0.120925603
0.15291668,0.11552322,0.154,0.128071819
0.15343831,0.12082155,0.144,0.136391838
0.14095733,0.12306944,0.134,0.136863667
0.13141248,0.12418328,0.14,0.127780438
0.1292704,0.11713627,0.12,0.116436211
0.10019957,0.11119567,0.066,0.111972218
0.12647292,0.115103595,0.132,0.11639438
0.13198365,0.111579545,0.166,0.12412341
0.12810875,0.12252664,0.116,0.130508764
0.11971587,0.132107,0.088,0.136229232
0.11986265,0.13392486,0.198,0.142079243
